codigo_filme;titulo;diretor;ano;genero;duracao;orcamento;faturamento;nota;elenco_principal
30;Skyfall ;Sam Mendes;2012;Drama;122;200000000;304360277;7,8;Robert De Niro
31;Spider-Man 2 ;Sam Raimi;2004;Musical;66;200000000;373377893;7,3;Meryl Streep
32;Iron Man 3 ;Shane Black;2013;Mistério;100;200000000;408992272;7,2;Natalie Portman
33;Alice in Wonderland ;Tim Burton;2010;Thriller;110;200000000;334185206;6,5;Viola Davis
34;X-Men: The Last Stand ;Brett Ratner;2006;Aventura;161;210000000;234360014;6,8;Viola Davis
35;Monsters University ;Dan Scanlon;2013;Drama;90;200000000;268488329;7,3;Denzel Washington
36;Transformers: Revenge of the Fallen ;Michael Bay;2009;Terror;164;200000000;402076689;6,0;Cate Blanchett
37;Transformers: Age of Extinction ;Michael Bay;2014;Crime;69;210000000;245428137;5,7;Leonardo DiCaprio
38;Oz the Great and Powerful ;Sam Raimi;2013;Ação;95;215000000;234903076;6,4;Meryl Streep
39;The Amazing Spider-Man 2 ;Marc Webb;2014;Ação;88;200000000;202853933;6,7;Cate Blanchett
40;TRON: Legacy ;Joseph Kosinski;2010;Ação;82;170000000;172051787;6,8;Natalie Portman
41;Cars 2 ;John Lasseter;2011;Drama;118;200000000;191450875;6,3;Tom Hanks
42;Green Lantern ;Martin Campbell;2011;Comédia;117;200000000;116593191;5,6;Cate Blanchett
43;Toy Story 3 ;Lee Unkrich;2010;Comédia;48;200000000;414984497;8,3;Natalie Portman
44;Terminator Salvation ;McG;2009;Comédia;81;200000000;125320003;6,6;Robert De Niro
45;Furious 7 ;James Wan;2015;Drama;63;190000000;350034110;7,2;Meryl Streep
46;World War Z ;Marc Forster;2013;Drama;136;190000000;202351611;7,0;Denzel Washington
47;X-Men: Days of Future Past ;Bryan Singer;2014;Ação;126;200000000;233914986;8,0;Tom Hanks
48;Star Trek Into Darkness ;J.J. Abrams;2013;Terror;117;190000000;228756232;7,8;Cate Blanchett
49;Jack the Giant Slayer ;Bryan Singer;2013;Ação;152;195000000;65171860;6,3;Meryl Streep
50;The Great Gatsby ;Baz Luhrmann;2013;Biografia;106;105000000;144812796;7,3;Tom Hanks
51;Prince of Persia: The Sands of Time ;Mike Newell;2010;Drama;113;200000000;90755643;6,6;Robert De Niro
52;Pacific Rim ;Guillermo del Toro;2013;Comédia;78;190000000;101785482;7,0;Leonardo DiCaprio
53;Transformers: Dark of the Moon ;Michael Bay;2011;Aventura;158;195000000;352358779;6,3;Tom Hanks
54;Indiana Jones and the Kingdom of the Crystal Skull ;Steven Spielberg;2008;Drama;100;185000000;317011114;6,2;Tom Hanks
55;Brave ;Mark Andrews;2012;Ficção científica;90;185000000;237282182;7,2;Denzel Washington
56;Star Trek Beyond ;Justin Lin;2016;Ação;93;185000000;130468626;7,5;Viola Davis
57;WALL·E ;Andrew Stanton;2008;Drama;161;180000000;223806889;8,4;Denzel Washington
58;Rush Hour 3 ;Brett Ratner;2007;Crime;79;140000000;140080850;6,2;Viola Davis
59;2012 ;Roland Emmerich;2009;Mistério;117;200000000;166112167;5,8;Tom Hanks
60;A Christmas Carol ;Robert Zemeckis;2009;Comédia;100;200000000;137850096;6,8;Natalie Portman
61;Jupiter Ascending ;Lana Wachowski;2015;Romance;129;176000000;47375327;5,4;Natalie Portman
62;The Legend of Tarzan ;David Yates;2016;Drama;127;180000000;124051759;6,6;Leonardo DiCaprio
63;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;Andrew Adamson;2005;Comédia;78;180000000;291709845;6,9;Tom Hanks
64;X-Men: Apocalypse ;Bryan Singer;2016;Ação;45;178000000;154985087;7,3;Natalie Portman
65;The Dark Knight ;Christopher Nolan;2008;Aventura;151;185000000;533316061;9,0;Natalie Portman
66;Up ;Pete Docter;2009;Comédia;159;175000000;292979556;8,3;Cate Blanchett
67;Monsters vs. Aliens ;Rob Letterman;2009;Aventura;89;175000000;198332128;6,5;Robert De Niro
68;Iron Man ;Jon Favreau;2008;Aventura;146;140000000;318298180;7,9;Leonardo DiCaprio
69;Hugo ;Martin Scorsese;2011;Aventura;121;170000000;73820094;7,5;Natalie Portman
70;Wild Wild West ;Barry Sonnenfeld;1999;Comédia;99;170000000;113745408;4,8;Robert De Niro
71;The Mummy: Tomb of the Dragon Emperor ;Rob Cohen;2008;Crime;123;145000000;102176165;5,2;Natalie Portman
72;Suicide Squad ;David Ayer;2016;Romance;105;175000000;161087183;6,9;Robert De Niro
73;Evan Almighty ;Tom Shadyac;2007;Thriller;122;175000000;100289690;5,4;Natalie Portman
74;Edge of Tomorrow ;Doug Liman;2014;Drama;112;178000000;100189501;7,9;Denzel Washington
75;Waterworld ;Kevin Reynolds;1995;Terror;116;175000000;88246220;6,1;Meryl Streep
76;G.I. Joe: The Rise of Cobra ;Stephen Sommers;2009;Ação;101;175000000;150167630;5,8;Leonardo DiCaprio
77;Inside Out ;Pete Docter;2015;Comédia;113;175000000;356454367;8,3;Meryl Streep
78;The Jungle Book ;Jon Favreau;2016;Romance;141;175000000;362645141;7,8;Viola Davis
79;Iron Man 2 ;Jon Favreau;2010;Comédia;124;200000000;312057433;7,0;Leonardo DiCaprio
80;Snow White and the Huntsman ;Rupert Sanders;2012;Drama;116;170000000;155111815;6,1;Leonardo DiCaprio
81;Maleficent ;Robert Stromberg;2014;Ação;111;180000000;241407328;7,0;Leonardo DiCaprio
82;Dawn of the Planet of the Apes ;Matt Reeves;2014;Romance;105;170000000;208543795;7,6;Denzel Washington
83;47 Ronin ;Carl Rinsch;2013;Comédia;68;175000000;38297305;6,3;Viola Davis
84;Captain America: The Winter Soldier ;Anthony Russo;2014;Aventura;83;170000000;259746958;7,8;Meryl Streep
85;Shrek Forever After ;Mike Mitchell;2010;Drama;130;165000000;238371987;6,4;Tom Hanks
86;Tomorrowland ;Brad Bird;2015;Comédia;110;190000000;93417865;6,5;Tom Hanks
87;Big Hero 6 ;Don Hall;2014;Guerra;92;165000000;222487711;7,9;Cate Blanchett
88;Wreck-It Ralph ;Rich Moore;2012;Mistério;121;165000000;189412677;7,8;Meryl Streep
89;The Polar Express ;Robert Zemeckis;2004;Mistério;80;165000000;665426;6,6;Viola Davis
90;Independence Day: Resurgence ;Roland Emmerich;2016;Drama;110;165000000;102315545;5,5;Robert De Niro
91;How to Train Your Dragon ;Dean DeBlois;2010;Drama;84;165000000;217387997;8,2;Tom Hanks
92;Terminator 3: Rise of the Machines ;Jonathan Mostow;2003;Romance;89;200000000;150350192;6,4;Denzel Washington
93;Guardians of the Galaxy ;James Gunn;2014;Comédia;118;170000000;333130696;8,1;Viola Davis
94;Interstellar ;Christopher Nolan;2014;Romance;90;165000000;187991439;8,6;Denzel Washington
95;Inception ;Christopher Nolan;2010;Ação;103;160000000;292568851;8,8;Tom Hanks
96;The Hobbit: An Unexpected Journey ;Peter Jackson;2012;Ação;113;180000000;303001229;7,9;Cate Blanchett
97;The Fast and the Furious ;Rob Cohen;2001;Aventura;77;38000000;144512310;6,7;Tom Hanks
98;The Curious Case of Benjamin Button ;David Fincher;2008;Drama;164;150000000;127490802;7,8;Natalie Portman
99;X-Men: First Class ;Matthew Vaughn;2011;Terror;131;160000000;146405371;7,8;Denzel Washington
100;The Hunger Games: Mockingjay - Part 2 ;Francis Lawrence;2015;Terror;112;160000000;281666058;6,6;Viola Davis
101;The Sorcerer's Apprentice ;Jon Turteltaub;2010;Ficção científica;60;150000000;63143812;6,1;Viola Davis
102;Poseidon ;Wolfgang Petersen;2006;Comédia;130;160000000;60655503;5,6;Meryl Streep
103;Alice Through the Looking Glass ;James Bobin;2016;Terror;136;170000000;76846624;6,4;Natalie Portman
104;Shrek the Third ;Chris Miller;2007;Fantasia;118;160000000;320706665;6,1;Robert De Niro
105;Warcraft ;Duncan Jones;2016;Terror;117;160000000;46978995;7,3;Natalie Portman
106;Terminator Genisys ;Alan Taylor;2015;Mistério;92;155000000;89732035;6,6;Natalie Portman
107;The Chronicles of Narnia: The Voyage of the Dawn Treader ;Michael Apted;2010;Animação;64;155000000;104383624;6,3;Cate Blanchett
108;Pearl Harbor ;Michael Bay;2001;Ficção científica;111;140000000;198539855;6,1;Robert De Niro
109;Transformers ;Michael Bay;2007;Comédia;150;150000000;318759914;7,1;Leonardo DiCaprio
110;Alexander ;Oliver Stone;2004;Drama;110;155000000;34293771;5,5;Viola Davis
111;Harry Potter and the Order of the Phoenix ;David Yates;2007;Animação;76;150000000;292000866;7,5;Robert De Niro
112;Harry Potter and the Goblet of Fire ;Mike Newell;2005;Ação;180;150000000;289994397;7,6;Natalie Portman
113;Hancock ;Peter Berg;2008;Drama;95;150000000;227946274;6,4;Leonardo DiCaprio
114;I Am Legend ;Francis Lawrence;2007;Fantasia;119;150000000;256386216;7,2;Leonardo DiCaprio
115;Charlie and the Chocolate Factory ;Tim Burton;2005;Crime;127;150000000;206456431;6,7;Leonardo DiCaprio
116;Ratatouille ;Brad Bird;2007;Drama;96;150000000;206435493;8,0;Viola Davis
117;Batman Begins ;Christopher Nolan;2005;Ficção científica;111;150000000;205343774;8,3;Denzel Washington
118;Madagascar: Escape 2 Africa ;Eric Darnell;2008;Fantasia;96;150000000;179982968;6,7;Viola Davis
119;Night at the Museum: Battle of the Smithsonian ;Shawn Levy;2009;Ficção científica;106;150000000;177243721;5,9;Meryl Streep
120;X-Men Origins: Wolverine ;Gavin Hood;2009;Comédia;135;150000000;179883016;6,7;Robert De Niro
121;The Matrix Revolutions ;Lana Wachowski;2003;Romance;129;150000000;139259759;6,7;Leonardo DiCaprio
122;Frozen ;Chris Buck;2013;Ação;94;150000000;400736600;7,6;Robert De Niro
123;The Matrix Reloaded ;Lana Wachowski;2003;Ação;141;150000000;281492479;7,2;Cate Blanchett
124;Thor: The Dark World ;Alan Taylor;2013;Ação;125;170000000;206360018;7,1;Natalie Portman
125;Mad Max: Fury Road ;George Miller;2015;Comédia;61;150000000;153629485;8,1;Natalie Portman
126;Angels & Demons ;Ron Howard;2009;Guerra;104;150000000;133375846;6,7;Denzel Washington
127;Thor ;Kenneth Branagh;2011;Drama;142;150000000;181015141;7,0;Viola Davis
129;G-Force ;Hoyt Yeatman;2009;Drama;92;150000000;119420252;5,1;Viola Davis
130;Wrath of the Titans ;Jonathan Liebesman;2012;Thriller;129;150000000;83640426;5,8;Meryl Streep
131;Dark Shadows ;Tim Burton;2012;Romance;117;100000000;79711678;6,2;Natalie Portman
132;Mission: Impossible - Rogue Nation ;Christopher McQuarrie;2015;Mistério;83;150000000;195000874;7,4;Denzel Washington
133;The Wolfman ;Joe Johnston;2010;Thriller;118;150000000;61937495;5,8;Leonardo DiCaprio
134;The Legend of Tarzan ;David Yates;2016;Crime;86;180000000;124051759;6,6;Robert De Niro
135;Bee Movie ;Steve Hickner;2007;Terror;79;150000000;126597121;6,2;Robert De Niro
136;Kung Fu Panda 2 ;Jennifer Yuh Nelson;2011;Romance;50;150000000;165230261;7,3;Denzel Washington
137;The Last Airbender ;M. Night Shyamalan;2010;Documentário;126;150000000;131564731;4,2;Leonardo DiCaprio
138;Mission: Impossible III ;J.J. Abrams;2006;Aventura;111;150000000;133382309;6,9;Denzel Washington
139;White House Down ;Roland Emmerich;2013;História;112;150000000;73103784;6,4;Tom Hanks
140;Mars Needs Moms ;Simon Wells;2011;Comédia;146;150000000;21379315;5,4;Leonardo DiCaprio
141;Flushed Away ;David Bowers;2006;Ação;76;149000000;64459316;6,7;Natalie Portman
142;Pan ;Joe Wright;2015;Comédia;91;150000000;34964818;5,8;Natalie Portman
143;Mr. Peabody & Sherman ;Rob Minkoff;2014;Drama;85;145000000;111505642;6,9;Tom Hanks
144;Troy ;Wolfgang Petersen;2004;Ação;102;175000000;133228348;7,2;Leonardo DiCaprio
145;Madagascar 3: Europe's Most Wanted ;Eric Darnell;2012;Documentário;161;145000000;216366733;6,9;Robert De Niro
146;Die Another Day ;Lee Tamahori;2002;Ação;133;142000000;160201106;6,1;Denzel Washington
147;Ghostbusters ;Paul Feig;2016;Ação;82;144000000;118099659;5,5;Leonardo DiCaprio
148;Armageddon ;Michael Bay;1998;Drama;120;140000000;201573391;6,6;Natalie Portman
149;Men in Black II ;Barry Sonnenfeld;2002;Ação;78;140000000;190418803;6,1;Meryl Streep
150;Beowulf ;Robert Zemeckis;2007;Crime;81;150000000;82161969;6,3;Natalie Portman
151;Kung Fu Panda 3 ;Alessandro Carloni;2016;Documentário;121;145000000;143523463;7,2;Natalie Portman
152;Mission: Impossible - Ghost Protocol ;Brad Bird;2011;Terror;131;145000000;209364921;7,4;Viola Davis
153;Rise of the Guardians ;Peter Ramsey;2012;Comédia;97;145000000;103400692;7,3;Tom Hanks
154;Fun with Dick and Jane ;Dean Parisot;2005;Ação;58;100000000;110332737;6,1;Leonardo DiCaprio
155;The Last Samurai ;Edward Zwick;2003;Drama;119;140000000;111110575;7,7;Natalie Portman
156;Exodus: Gods and Kings ;Ridley Scott;2014;Comédia;114;140000000;65007045;6,1;Leonardo DiCaprio
157;Star Trek ;J.J. Abrams;2009;Ficção científica;124;150000000;257704099;8,0;Tom Hanks
158;Spider-Man ;Sam Raimi;2002;Ação;66;139000000;403706375;7,3;Cate Blanchett
159;How to Train Your Dragon 2 ;Dean DeBlois;2014;Comédia;134;145000000;176997107;7,9;Robert De Niro
160;Gods of Egypt ;Alex Proyas;2016;Ação;112;140000000;31141074;5,5;Robert De Niro
161;Stealth ;Rob Cohen;2005;Terror;64;135000000;31704416;5,0;Robert De Niro
162;Watchmen ;Zack Snyder;2009;Comédia;105;130000000;107503316;7,7;Robert De Niro
163;Lethal Weapon 4 ;Richard Donner;1998;Romance;108;140000000;129734803;6,6;Cate Blanchett
164;Hulk ;Ang Lee;2003;Comédia;130;137000000;132122995;5,7;Natalie Portman
165;G.I. Joe: Retaliation ;Jon M. Chu;2013;Comédia;64;130000000;122512052;5,8;Tom Hanks
166;Sahara ;Breck Eisner;2005;Ficção científica;128;130000000;68642452;6,0;Robert De Niro
167;Final Fantasy: The Spirits Within ;Hironobu Sakaguchi;2001;Crime;105;137000000;32131830;6,4;Robert De Niro
168;Captain America: The First Avenger ;Joe Johnston;2011;Ação;113;140000000;176636816;6,9;Viola Davis
169;The World Is Not Enough ;Michael Apted;1999;Comédia;86;135000000;126930660;6,4;Meryl Streep
170;Master and Commander: The Far Side of the World ;Peter Weir;2003;Ação;96;150000000;93926386;7,4;Robert De Niro
171;The Twilight Saga: Breaking Dawn - Part 2 ;Bill Condon;2012;Romance;99;120000000;292298923;5,5;Tom Hanks
172;Happy Feet 2 ;George Miller;2011;Ação;88;135000000;63992328;5,9;Cate Blanchett
173;The Incredible Hulk ;Louis Leterrier;2008;Biografia;101;150000000;134518390;6,8;Viola Davis
174;The BFG ;Steven Spielberg;2016;Crime;99;140000000;52792307;6,8;Leonardo DiCaprio
175;The Revenant ;Alejandro G. Iñárritu;2015;Romance;91;135000000;183635922;8,1;Robert De Niro
176;Turbo ;David Soren;2013;Romance;108;135000000;83024900;6,5;Tom Hanks
177;Rango ;Gore Verbinski;2011;Comédia;143;135000000;123207194;7,2;Leonardo DiCaprio
178;Penguins of Madagascar ;Eric Darnell;2014;Terror;101;132000000;83348920;6,7;Meryl Streep
179;The Bourne Ultimatum ;Paul Greengrass;2007;Biografia;60;110000000;227137090;8,1;Viola Davis
180;Kung Fu Panda ;Mark Osborne;2008;Ficção científica;93;130000000;215395021;7,6;Viola Davis
181;Ant-Man ;Peyton Reed;2015;Documentário;127;130000000;180191634;7,4;Viola Davis
182;The Hunger Games: Catching Fire ;Francis Lawrence;2013;Ação;71;130000000;424645577;7,6;Tom Hanks
183;The Twilight Saga: Breaking Dawn - Part 2 ;Bill Condon;2012;Thriller;82;120000000;292298923;5,5;Natalie Portman
184;Home ;Tim Johnson;2015;Ação;60;135000000;177343675;6,7;Denzel Washington
185;War of the Worlds ;Steven Spielberg;2005;Ficção científica;128;132000000;234277056;6,5;Natalie Portman
186;Bad Boys II ;Michael Bay;2003;Terror;97;130000000;138396624;6,6;Tom Hanks
187;Puss in Boots ;Chris Miller;2011;Ação;140;130000000;149234747;6,7;Denzel Washington
188;Salt ;Phillip Noyce;2010;Ficção científica;141;110000000;118311368;6,4;Tom Hanks
189;Noah ;Darren Aronofsky;2014;Animação;110;125000000;101160529;5,8;Robert De Niro
190;The Adventures of Tintin ;Steven Spielberg;2011;Mistério;99;135000000;77564037;7,4;Viola Davis
191;Harry Potter and the Prisoner of Azkaban ;Alfonso Cuarón;2004;Ação;101;130000000;249358727;7,8;Meryl Streep
192;Australia ;Baz Luhrmann;2008;Ação;118;130000000;49551662;6,6;Natalie Portman
193;After Earth ;M. Night Shyamalan;2013;Guerra;131;130000000;60522097;4,9;Leonardo DiCaprio
194;Dinosaur ;Eric Leighton;2000;Romance;103;127500000;137748063;6,5;Viola Davis
195;Night at the Museum: Secret of the Tomb ;Shawn Levy;2014;Animação;144;127000000;113733726;6,2;Meryl Streep
196;Megamind ;Tom McGrath;2010;Terror;129;130000000;148337537;7,3;Natalie Portman
197;Harry Potter and the Sorcerer's Stone ;Chris Columbus;2001;Comédia;104;125000000;317557891;7,5;Cate Blanchett
198;R.I.P.D. ;Robert Schwentke;2013;Romance;66;130000000;33592415;5,6;Natalie Portman
199;Pirates of the Caribbean: The Curse of the Black Pearl ;Gore Verbinski;2003;Drama;97;140000000;305388685;8,1;Viola Davis
200;The Hunger Games: Mockingjay - Part 1 ;Francis Lawrence;2014;Ficção científica;69;125000000;337103873;6,7;Viola Davis
201;The Da Vinci Code ;Ron Howard;2006;Ação;121;125000000;217536138;6,6;Leonardo DiCaprio
202;Rio 2 ;Carlos Saldanha;2014;Musical;120;103000000;131536019;6,4;Viola Davis
203;X-Men 2 ;Bryan Singer;2003;Ficção científica;112;110000000;214948780;7,5;Denzel Washington
204;Fast Five ;Justin Lin;2011;Terror;113;125000000;209805005;7,3;Natalie Portman
205;Sherlock Holmes: A Game of Shadows ;Guy Ritchie;2011;Comédia;105;125000000;186830669;7,5;Viola Davis
206;Clash of the Titans ;Louis Leterrier;2010;Mistério;96;125000000;163192114;5,8;Viola Davis
207;Total Recall ;Paul Verhoeven;1990;Comédia;83;65000000;119412921;7,5;Leonardo DiCaprio
208;The 13th Warrior ;John McTiernan;1999;Ação;48;85000000;32694788;6,6;Viola Davis
209;The Bourne Legacy ;Tony Gilroy;2012;Drama;106;125000000;113165635;6,7;Meryl Streep
210;Batman & Robin ;Joel Schumacher;1997;Drama;106;125000000;107285004;3,7;Tom Hanks
211;How the Grinch Stole Christmas ;Ron Howard;2000;Terror;201;123000000;260031035;6,0;Robert De Niro
212;The Day After Tomorrow ;Roland Emmerich;2004;Ação;147;125000000;186739919;6,4;Natalie Portman
213;Mission: Impossible II ;John Woo;2000;Ação;121;125000000;215397307;6,1;Robert De Niro
214;The Perfect Storm ;Wolfgang Petersen;2000;Thriller;85;140000000;182618434;6,4;Meryl Streep
215;Fantastic 4: Rise of the Silver Surfer ;Tim Story;2007;Drama;73;130000000;131920333;5,6;Denzel Washington
216;Life of Pi ;Ang Lee;2012;Thriller;123;120000000;124976634;8,0;Cate Blanchett
217;Ghost Rider ;Mark Steven Johnson;2007;Comédia;80;110000000;115802596;5,2;Natalie Portman
218;Jason Bourne ;Paul Greengrass;2016;Comédia;126;120000000;108521835;7,1;Natalie Portman
219;Charlie's Angels: Full Throttle ;McG;2003;Documentário;113;120000000;100685880;4,8;Viola Davis
220;Prometheus ;Ridley Scott;2012;Animação;88;130000000;126464904;7,0;Viola Davis
221;Stuart Little 2 ;Rob Minkoff;2002;Ação;95;120000000;64736114;5,4;Natalie Portman
222;Elysium ;Neill Blomkamp;2013;Musical;110;115000000;93050117;6,6;Tom Hanks
223;The Chronicles of Riddick ;David Twohy;2004;Crime;92;105000000;57637485;6,7;Meryl Streep
224;RoboCop ;José Padilha;2014;Thriller;106;100000000;58607007;6,2;Denzel Washington
225;Speed Racer ;Lana Wachowski;2008;Drama;93;120000000;43929341;6,1;Natalie Portman
226;How Do You Know ;James L. Brooks;2010;Comédia;142;120000000;30212620;5,3;Viola Davis
227;Knight and Day ;James Mangold;2010;Terror;111;117000000;76418654;6,3;Leonardo DiCaprio
228;Oblivion ;Joseph Kosinski;2013;Ficção científica;98;120000000;89021735;7,0;Leonardo DiCaprio
229;Star Wars: Episode III - Revenge of the Sith ;George Lucas;2005;Thriller;96;113000000;380262555;7,6;Denzel Washington
230;Star Wars: Episode II - Attack of the Clones ;George Lucas;2002;Animação;82;115000000;310675583;6,7;Denzel Washington
231;Monsters, Inc. ;Pete Docter;2001;Romance;142;115000000;289907418;8,1;Meryl Streep
232;The Wolverine ;James Mangold;2013;Comédia;98;120000000;132550960;6,7;Meryl Streep
233;Star Wars: Episode I - The Phantom Menace ;George Lucas;1999;Ficção científica;110;115000000;474544677;6,5;Natalie Portman
234;The Croods ;Kirk De Micco;2013;Drama;115;135000000;187165546;7,3;Denzel Washington
235;Windtalkers ;John Woo;2002;Ação;91;115000000;40911830;6,0;Robert De Niro
236;The Huntsman: Winter's War ;Cedric Nicolas-Troyan;2016;Comédia;101;115000000;47952020;6,1;Natalie Portman
237;Teenage Mutant Ninja Turtles ;Jonathan Liebesman;2014;Ação;165;125000000;190871240;5,9;Cate Blanchett
238;Gravity ;Alfonso Cuarón;2013;Documentário;93;100000000;274084951;7,8;Denzel Washington
239;Dante's Peak ;Roger Donaldson;1997;Drama;95;116000000;67155742;5,8;Natalie Portman
240;Teenage Mutant Ninja Turtles: Out of the Shadows ;Dave Green;2016;Aventura;137;135000000;81638674;6,3;Cate Blanchett
241;Fantastic Four ;Josh Trank;2015;Ficção científica;71;120000000;56114221;4,3;Robert De Niro
242;Night at the Museum ;Shawn Levy;2006;Romance;107;110000000;250863268;6,4;Robert De Niro
243;San Andreas ;Brad Peyton;2015;Drama;130;110000000;155181732;6,1;Viola Davis
244;Tomorrow Never Dies ;Roger Spottiswoode;1997;Romance;117;110000000;125332007;6,5;Robert De Niro
245;The Patriot ;Roland Emmerich;2000;Ação;126;110000000;113330342;7,1;Denzel Washington
246;Ocean's Twelve ;Steven Soderbergh;2004;Crime;89;110000000;125531634;6,4;Leonardo DiCaprio
247;Mr. & Mrs. Smith ;Doug Liman;2005;Comédia;128;120000000;186336103;6,5;Robert De Niro
248;Insurgent ;Robert Schwentke;2015;Musical;129;110000000;129995817;6,3;Natalie Portman
249;The Aviator ;Martin Scorsese;2004;Musical;53;110000000;102608827;7,5;Denzel Washington
250;Gulliver's Travels ;Rob Letterman;2010;Crime;122;112000000;42776259;4,9;Viola Davis
251;The Green Hornet ;Michel Gondry;2011;Ação;96;120000000;98780042;5,8;Natalie Portman
252;300: Rise of an Empire ;Noam Murro;2014;Ação;96;110000000;106369117;6,2;Tom Hanks
253;The Smurfs ;Raja Gosnell;2011;Ficção científica;107;110000000;142614158;5,5;Natalie Portman
254;Home on the Range ;Will Finn;2004;Ação;99;110000000;50026353;5,4;Robert De Niro
255;Allegiant ;Robert Schwentke;2016;Ficção científica;118;110000000;66002193;5,8;Leonardo DiCaprio
256;Real Steel ;Shawn Levy;2011;Aventura;146;110000000;85463309;7,1;Viola Davis
257;The Smurfs 2 ;Raja Gosnell;2013;Drama;114;105000000;71017784;5,4;Denzel Washington
258;Speed 2: Cruise Control ;Jan de Bont;1997;Comédia;70;160000000;48068396;3,7;Denzel Washington
259;Ender's Game ;Gavin Hood;2013;Terror;128;110000000;61656849;6,7;Tom Hanks
260;Live Free or Die Hard ;Len Wiseman;2007;Biografia;110;110000000;134520804;7,2;Denzel Washington
261;The Lord of the Rings: The Fellowship of the Ring ;Peter Jackson;2001;Animação;170;93000000;313837577;8,8;Meryl Streep
262;Around the World in 80 Days ;Frank Coraci;2004;Mistério;81;110000000;24004159;5,8;Viola Davis
263;Ali ;Michael Mann;2001;Thriller;107;107000000;58183966;6,8;Meryl Streep
264;The Cat in the Hat ;Bo Welch;2003;Fantasia;118;109000000;100446895;3,8;Meryl Streep
265;I, Robot ;Alex Proyas;2004;Terror;120;120000000;144795350;7,1;Leonardo DiCaprio
266;Kingdom of Heaven ;Ridley Scott;2005;Ficção científica;93;130000000;47396698;7,2;Denzel Washington
267;Stuart Little ;Rob Minkoff;1999;Comédia;84;133000000;140015224;5,9;Leonardo DiCaprio
268;The Princess and the Frog ;Ron Clements;2009;Comédia;137;105000000;104374107;7,1;Tom Hanks
269;The Martian ;Ridley Scott;2015;Drama;78;108000000;228430993;8,1;Denzel Washington
270;The Island ;Michael Bay;2005;Terror;108;126000000;35799026;6,9;Denzel Washington
271;Town & Country ;Peter Chelsom;2001;Biografia;118;90000000;6712451;4,4;Viola Davis
272;Gone in Sixty Seconds ;Dominic Sena;2000;Drama;123;90000000;101643008;6,5;Leonardo DiCaprio
