codigo,ator_principal,orcamento_elenco
200,Cate Blanchett,39082216
201,Tom Hanks,16612792
202,Leonardo DiCaprio,5444965
203,Cate Blanchett,20033030
204,Leonardo DiCaprio,15238834
205,Leonardo DiCaprio,15593723
206,Robert De Niro,38645301
207,Tom Hanks,49067772
208,Leonardo DiCaprio,46053198
209,Robert De Niro,39517024
210,Viola Davis,29303172
211,Viola Davis,30206151
212,Tom Hanks,22482984
213,Meryl Streep,14228717
214,Robert De Niro,34147367
215,Cate Blanchett,4140147
216,Tom Hanks,29268753
217,Robert De Niro,9327718
218,Cate Blanchett,12484992
219,Leonardo DiCaprio,22936193
220,Leonardo DiCaprio,26693133
221,Meryl Streep,39682476
222,Robert De Niro,20128503
223,Robert De Niro,44195734
224,Leonardo DiCaprio,1311855
225,Cate Blanchett,20083467
226,Meryl Streep,28032174
227,Robert De Niro,36800364
228,Leonardo DiCaprio,3625315
229,Tom Hanks,44270162
230,Robert De Niro,5660986
231,Cate Blanchett,7383382
232,Cate Blanchett,49536732
233,Tom Hanks,19433029
234,Tom Hanks,24207887
235,Cate Blanchett,6353086
236,Leonardo DiCaprio,22016795
237,Cate Blanchett,42092143
238,Robert De Niro,27395761
239,Tom Hanks,47738433
240,Cate Blanchett,34107260
241,Viola Davis,9147884
242,Tom Hanks,42471734
243,Robert De Niro,2965496
244,Meryl Streep,4210101
245,Robert De Niro,10310309
246,Robert De Niro,22666703
247,Viola Davis,49603820
248,Cate Blanchett,16189504
249,Meryl Streep,6906702
250,Meryl Streep,49594059
251,Tom Hanks,37074931
252,Robert De Niro,47187088
253,Robert De Niro,18427345
254,Robert De Niro,8435903
255,Robert De Niro,21420562
256,Robert De Niro,18698428
257,Tom Hanks,47165636
258,Leonardo DiCaprio,26471603
259,Tom Hanks,47886603
260,Meryl Streep,10245140
261,Leonardo DiCaprio,31916635
262,Robert De Niro,9475091
263,Tom Hanks,10932211
264,Leonardo DiCaprio,28735685
265,Viola Davis,30982880
266,Viola Davis,9212333
267,Leonardo DiCaprio,36405893
268,Meryl Streep,39781187
269,Cate Blanchett,45377009
270,Cate Blanchett,19826828
271,Tom Hanks,33393872
272,Meryl Streep,7160551
273,Tom Hanks,20879939
274,Viola Davis,6556229
275,Tom Hanks,38481322
276,Meryl Streep,45257005
277,Viola Davis,14817126
278,Viola Davis,6235614
279,Robert De Niro,34192430
280,Robert De Niro,15258987
281,Robert De Niro,45996423
282,Meryl Streep,32417040
283,Cate Blanchett,13610925
284,Cate Blanchett,8015206
285,Tom Hanks,15003033
286,Leonardo DiCaprio,36409632
287,Leonardo DiCaprio,22029168
288,Tom Hanks,48547459
289,Cate Blanchett,44975723
290,Meryl Streep,34857187
291,Robert De Niro,9728213
292,Meryl Streep,25403721
293,Cate Blanchett,31362190
294,Leonardo DiCaprio,35457988
295,Meryl Streep,27857296
296,Meryl Streep,5606306
297,Tom Hanks,29393356
298,Meryl Streep,47054531
299,Tom Hanks,39738073
300,Viola Davis,7849422
301,Meryl Streep,31934107
302,Robert De Niro,8395341
303,Meryl Streep,2113197
304,Cate Blanchett,13551355
305,Tom Hanks,2918390
306,Cate Blanchett,45418384
307,Leonardo DiCaprio,31376217
308,Tom Hanks,18822686
309,Robert De Niro,37930294
310,Robert De Niro,24785182
311,Cate Blanchett,15231510
312,Meryl Streep,27637387
313,Leonardo DiCaprio,29913748
314,Leonardo DiCaprio,23396879
315,Robert De Niro,30617866
316,Tom Hanks,25815561
317,Robert De Niro,4297353
318,Viola Davis,26670652
319,Viola Davis,29359425
320,Meryl Streep,20730401
321,Meryl Streep,28024209
322,Meryl Streep,40865964
323,Tom Hanks,36538354
324,Leonardo DiCaprio,34126024
325,Leonardo DiCaprio,30096077
326,Robert De Niro,46711909
327,Robert De Niro,44375469
328,Meryl Streep,8454640
329,Meryl Streep,8730129
330,Robert De Niro,3394978
331,Leonardo DiCaprio,18862919
332,Meryl Streep,5418943
333,Leonardo DiCaprio,7780142
334,Tom Hanks,16197809
335,Leonardo DiCaprio,47943474
336,Viola Davis,28149521
337,Cate Blanchett,27366094
338,Robert De Niro,15756453
339,Viola Davis,47418113
340,Tom Hanks,34230407
341,Meryl Streep,12477569
342,Meryl Streep,24329263
343,Viola Davis,20326852
344,Viola Davis,41017914
345,Tom Hanks,1208498
346,Robert De Niro,13420429
347,Leonardo DiCaprio,48007828
348,Leonardo DiCaprio,32994709
349,Viola Davis,21489959
350,Viola Davis,17013482
351,Meryl Streep,22146841
352,Viola Davis,5661021
353,Meryl Streep,13572470
354,Tom Hanks,31549050
355,Meryl Streep,1854619
356,Viola Davis,32849913
357,Cate Blanchett,23417994
358,Robert De Niro,12912833
359,Tom Hanks,6165843
360,Meryl Streep,46580537
361,Robert De Niro,40863011
362,Tom Hanks,32798203
363,Leonardo DiCaprio,1067543
364,Cate Blanchett,17610143
365,Cate Blanchett,8340770
366,Robert De Niro,2167078
367,Leonardo DiCaprio,46637131
368,Tom Hanks,16320126
369,Leonardo DiCaprio,34765588
370,Meryl Streep,10837015
371,Robert De Niro,7710380
372,Tom Hanks,23526925
373,Cate Blanchett,33927759
374,Viola Davis,24540517
375,Leonardo DiCaprio,18269762
376,Viola Davis,33648013
377,Tom Hanks,25447043
378,Cate Blanchett,1910066
379,Tom Hanks,21208762
380,Viola Davis,23396836
381,Leonardo DiCaprio,45556059
382,Leonardo DiCaprio,33504503
383,Robert De Niro,19115195
384,Viola Davis,35850230
385,Viola Davis,43936272
386,Robert De Niro,10925426
387,Cate Blanchett,15781103
388,Viola Davis,10504838
389,Tom Hanks,34408955
390,Robert De Niro,17399245
391,Leonardo DiCaprio,47694755
392,Cate Blanchett,25120263
393,Meryl Streep,6991075
394,Meryl Streep,26352269
395,Viola Davis,8243170
396,Tom Hanks,43069990
397,Viola Davis,37568721
398,Cate Blanchett,36360122
399,Meryl Streep,18804607
400,Viola Davis,24410595
401,Tom Hanks,27241325
402,Leonardo DiCaprio,29004145
403,Tom Hanks,21758335
404,Meryl Streep,3758172
405,Leonardo DiCaprio,35901825
406,Viola Davis,24036757
407,Leonardo DiCaprio,9251790
408,Cate Blanchett,31536390
409,Leonardo DiCaprio,24286629
410,Tom Hanks,8394764
411,Robert De Niro,34482425
412,Viola Davis,10873800
413,Cate Blanchett,46695973
414,Meryl Streep,36110429
415,Tom Hanks,42862182
416,Leonardo DiCaprio,45581782
417,Meryl Streep,21377311
418,Cate Blanchett,20344798
419,Robert De Niro,20778776
420,Robert De Niro,31457907
421,Robert De Niro,15584454
422,Tom Hanks,40800362
423,Robert De Niro,4569740
424,Cate Blanchett,21523333
425,Robert De Niro,29878476
426,Tom Hanks,45308849
427,Robert De Niro,4348869
428,Tom Hanks,10242151
429,Tom Hanks,20009628
430,Leonardo DiCaprio,45649271
431,Leonardo DiCaprio,11404357
432,Robert De Niro,48861847
433,Tom Hanks,10572693
434,Viola Davis,14202153
435,Cate Blanchett,40273773
436,Robert De Niro,20515393
437,Meryl Streep,3156656
438,Cate Blanchett,24798966
439,Meryl Streep,46533382
440,Viola Davis,26920183
441,Cate Blanchett,27784060
442,Robert De Niro,18532922
443,Tom Hanks,41066595
444,Tom Hanks,12630098
445,Leonardo DiCaprio,30247134
446,Viola Davis,22641259
447,Leonardo DiCaprio,10339967
448,Viola Davis,14388665
449,Tom Hanks,10106052
450,Cate Blanchett,38197354
451,Meryl Streep,21203946
452,Tom Hanks,6744379
453,Tom Hanks,39028250
454,Viola Davis,31947546
455,Leonardo DiCaprio,13305898
456,Cate Blanchett,30319380
457,Robert De Niro,10301951
458,Leonardo DiCaprio,30655496
459,Viola Davis,22022553
460,Leonardo DiCaprio,46980529
461,Viola Davis,24995377
462,Cate Blanchett,24769546
463,Cate Blanchett,32309812
464,Cate Blanchett,28531990
465,Cate Blanchett,2857099
466,Leonardo DiCaprio,2773158
467,Cate Blanchett,6934368
468,Meryl Streep,42285946
469,Tom Hanks,17283674
470,Leonardo DiCaprio,35373616
471,Tom Hanks,9541271
472,Leonardo DiCaprio,37458202
473,Leonardo DiCaprio,20685928
474,Robert De Niro,27350921
475,Meryl Streep,28040988
476,Viola Davis,1399488
477,Cate Blanchett,35762947
478,Cate Blanchett,4647114
479,Robert De Niro,4670368
480,Tom Hanks,44612704
481,Robert De Niro,23379695
482,Leonardo DiCaprio,7536340
483,Tom Hanks,38946264
484,Cate Blanchett,47344905
485,Tom Hanks,5084565
486,Robert De Niro,40233015
487,Viola Davis,35280608
488,Viola Davis,49113792
489,Robert De Niro,48081744
490,Meryl Streep,35645892
491,Meryl Streep,38718486
492,Viola Davis,34239332
493,Meryl Streep,16001755
494,Viola Davis,43927401
495,Meryl Streep,21192534
496,Viola Davis,21863530
497,Viola Davis,1432905
498,Cate Blanchett,42853377
499,Viola Davis,14468740
500,Robert De Niro,5505827
501,Robert De Niro,11269138
502,Leonardo DiCaprio,9122482
503,Leonardo DiCaprio,7500408
504,Meryl Streep,14709915
505,Robert De Niro,32792314
506,Robert De Niro,34943965
507,Cate Blanchett,27220365
508,Robert De Niro,9174625
509,Tom Hanks,28149383
510,Cate Blanchett,13350979
511,Meryl Streep,37689707
512,Tom Hanks,42121631
513,Viola Davis,30469505
514,Viola Davis,42416807
515,Robert De Niro,30014765
516,Meryl Streep,43694469
517,Robert De Niro,13402245
518,Meryl Streep,45121753
519,Meryl Streep,12460549
520,Leonardo DiCaprio,47951284
521,Leonardo DiCaprio,14445330
522,Cate Blanchett,33243558
523,Tom Hanks,20424595
524,Viola Davis,7712207
525,Leonardo DiCaprio,34082263
526,Tom Hanks,45808565
527,Tom Hanks,27252264
528,Cate Blanchett,47818680
529,Robert De Niro,32136076
530,Cate Blanchett,29510057
531,Meryl Streep,2877079
532,Tom Hanks,31674272
533,Robert De Niro,38863430
534,Cate Blanchett,1739515
535,Leonardo DiCaprio,21317985
536,Robert De Niro,44292531
537,Viola Davis,45103371
538,Leonardo DiCaprio,30828506
539,Robert De Niro,24805317
540,Meryl Streep,32400714
541,Viola Davis,31759359
542,Tom Hanks,1612036
543,Meryl Streep,25008039
544,Leonardo DiCaprio,34769557
545,Meryl Streep,24409858
546,Viola Davis,36235888
547,Cate Blanchett,35429877
548,Robert De Niro,12710287
549,Viola Davis,11160464
550,Tom Hanks,45018944
551,Viola Davis,38792206
552,Tom Hanks,31835297
553,Viola Davis,10397878
554,Tom Hanks,45187425
555,Tom Hanks,27436109
556,Robert De Niro,44294210
557,Cate Blanchett,26268012
558,Cate Blanchett,41657354
559,Viola Davis,13104730
560,Leonardo DiCaprio,48546642
561,Leonardo DiCaprio,45218372
562,Leonardo DiCaprio,18396363
563,Meryl Streep,47826465
564,Tom Hanks,40517195
565,Leonardo DiCaprio,24360274
566,Leonardo DiCaprio,42438047
567,Cate Blanchett,5534544
568,Robert De Niro,2981177
569,Viola Davis,11682367
570,Meryl Streep,7478719
571,Viola Davis,8128332
572,Cate Blanchett,46588546
573,Cate Blanchett,22720413
574,Meryl Streep,16879110
575,Robert De Niro,12676805
576,Viola Davis,26775404
577,Cate Blanchett,5319791
578,Robert De Niro,42064157
579,Tom Hanks,8682205
580,Robert De Niro,5891007
581,Cate Blanchett,26120331
582,Leonardo DiCaprio,43365426
583,Robert De Niro,12681454
584,Tom Hanks,8225007
585,Viola Davis,31166080
586,Cate Blanchett,9940017
587,Viola Davis,39505701
588,Leonardo DiCaprio,14403950
589,Meryl Streep,17944648
590,Cate Blanchett,30361124
591,Viola Davis,20199130
592,Meryl Streep,14501816
593,Viola Davis,11877647
594,Cate Blanchett,36469010
595,Meryl Streep,6772590
596,Leonardo DiCaprio,2626923
597,Viola Davis,45872895
598,Robert De Niro,14659312
599,Robert De Niro,10432995
600,Robert De Niro,25129730
601,Cate Blanchett,39137633
602,Leonardo DiCaprio,5829497
603,Tom Hanks,13435564
604,Viola Davis,49987934
605,Viola Davis,44099485
606,Leonardo DiCaprio,34297772
607,Meryl Streep,14923396
608,Leonardo DiCaprio,32791674
609,Leonardo DiCaprio,24629437
610,Tom Hanks,42505413
611,Leonardo DiCaprio,10252536
612,Robert De Niro,30452608
613,Cate Blanchett,42974628
614,Cate Blanchett,5755845
615,Leonardo DiCaprio,6244142
616,Meryl Streep,35711849
617,Tom Hanks,7772157
618,Robert De Niro,34468012
619,Meryl Streep,4454697
620,Leonardo DiCaprio,37274892
621,Tom Hanks,2512800
622,Meryl Streep,20454623
623,Tom Hanks,27201072
624,Viola Davis,25018611
625,Robert De Niro,11594007
626,Tom Hanks,6018207
627,Leonardo DiCaprio,39611479
628,Meryl Streep,35746268
629,Leonardo DiCaprio,34557586
630,Tom Hanks,27791177
631,Leonardo DiCaprio,4801596
632,Leonardo DiCaprio,47809634
633,Robert De Niro,40109201
634,Cate Blanchett,18653192
635,Viola Davis,3011791
636,Robert De Niro,23685832
637,Cate Blanchett,18507434
638,Meryl Streep,23450682
639,Robert De Niro,10347501
640,Meryl Streep,37714410
641,Viola Davis,23119696
642,Viola Davis,5182795
643,Meryl Streep,34121923
644,Robert De Niro,38839748
645,Leonardo DiCaprio,48183626
646,Robert De Niro,24209303
647,Robert De Niro,28933405
648,Leonardo DiCaprio,42099659
649,Robert De Niro,38005522
650,Cate Blanchett,9688220
651,Tom Hanks,49541839
652,Robert De Niro,7983430
653,Robert De Niro,34326041
654,Leonardo DiCaprio,16115938
655,Viola Davis,24505395
656,Cate Blanchett,33050696
657,Tom Hanks,16284388
658,Robert De Niro,4714915
659,Robert De Niro,14165033
660,Leonardo DiCaprio,41811510
661,Cate Blanchett,46764300
662,Viola Davis,2214325
663,Leonardo DiCaprio,33358105
664,Robert De Niro,26979504
665,Cate Blanchett,47670224
666,Meryl Streep,29837930
667,Viola Davis,29644316
668,Leonardo DiCaprio,10245617
669,Robert De Niro,30390518
670,Robert De Niro,42315786
671,Tom Hanks,24608166
672,Meryl Streep,24026771
673,Cate Blanchett,4887113
674,Meryl Streep,16571499
675,Robert De Niro,40501450
676,Robert De Niro,16242160
677,Cate Blanchett,36984952
678,Leonardo DiCaprio,4072224
679,Robert De Niro,49306762
680,Meryl Streep,4817397
681,Robert De Niro,4802025
682,Meryl Streep,30430987
683,Meryl Streep,19964695
684,Robert De Niro,22080631
685,Tom Hanks,41427454
686,Viola Davis,17390960
687,Tom Hanks,9705109
688,Leonardo DiCaprio,27697157
689,Cate Blanchett,45129636
690,Robert De Niro,45063028
691,Robert De Niro,6125632
692,Tom Hanks,37483478
693,Meryl Streep,34214139
694,Viola Davis,24955066
695,Meryl Streep,30765588
696,Viola Davis,21315122
697,Tom Hanks,38004219
698,Tom Hanks,44865297
699,Meryl Streep,36355914
700,Tom Hanks,22398261
701,Viola Davis,37334025
702,Leonardo DiCaprio,8004700
703,Robert De Niro,24262311
704,Cate Blanchett,48345415
705,Leonardo DiCaprio,33628846
706,Tom Hanks,6264427
707,Meryl Streep,10202738
708,Leonardo DiCaprio,16471004
709,Tom Hanks,38108897
710,Meryl Streep,9237482
711,Tom Hanks,49647937
712,Meryl Streep,3407038
713,Meryl Streep,47864934
714,Cate Blanchett,44614593
715,Cate Blanchett,8666425
716,Robert De Niro,34481114
717,Robert De Niro,19139430
718,Tom Hanks,40476128
719,Cate Blanchett,21160364
720,Robert De Niro,5007744
721,Tom Hanks,41919477
722,Cate Blanchett,34242879
723,Robert De Niro,26675058
724,Cate Blanchett,30797660
725,Robert De Niro,16062480
726,Meryl Streep,26456202
727,Meryl Streep,45286863
728,Cate Blanchett,36734929
729,Robert De Niro,45318858
730,Tom Hanks,3100916
731,Leonardo DiCaprio,24340767
732,Robert De Niro,41851802
733,Tom Hanks,18618273
734,Leonardo DiCaprio,15532031
735,Robert De Niro,23880390
736,Viola Davis,42710207
737,Cate Blanchett,29692340
738,Viola Davis,4833163
739,Robert De Niro,38130942
740,Cate Blanchett,49405423
741,Viola Davis,20288327
742,Leonardo DiCaprio,32105128
743,Cate Blanchett,39426706
744,Viola Davis,39138172
745,Leonardo DiCaprio,18455063
746,Meryl Streep,26588008
747,Cate Blanchett,16987137
748,Meryl Streep,2018941
749,Tom Hanks,46808425
750,Tom Hanks,6740281
751,Meryl Streep,37426997
752,Tom Hanks,23651412
753,Leonardo DiCaprio,27481238
754,Robert De Niro,42308676
755,Tom Hanks,25272931
756,Tom Hanks,45240172
757,Tom Hanks,44824175
758,Leonardo DiCaprio,1828064
759,Robert De Niro,21595385
760,Leonardo DiCaprio,45343958
761,Tom Hanks,18751471
762,Meryl Streep,30783496
763,Cate Blanchett,2158747
764,Cate Blanchett,1595302
765,Cate Blanchett,3483280
766,Tom Hanks,33226207
767,Viola Davis,38353358
768,Meryl Streep,28421412
769,Robert De Niro,39894305
770,Robert De Niro,19551954
771,Leonardo DiCaprio,38007040
772,Tom Hanks,5297885
773,Cate Blanchett,13066436
774,Tom Hanks,19531733
775,Tom Hanks,34214118
776,Meryl Streep,16261825
777,Viola Davis,12710182
778,Meryl Streep,42469875
779,Viola Davis,4327235
780,Meryl Streep,8680378
781,Viola Davis,3583810
782,Meryl Streep,46932083
783,Leonardo DiCaprio,30548628
784,Leonardo DiCaprio,22295953
785,Robert De Niro,38138563
786,Viola Davis,16297628
787,Robert De Niro,48952609
788,Tom Hanks,18276846
789,Robert De Niro,46525835
790,Tom Hanks,37268405
791,Viola Davis,4001985
792,Leonardo DiCaprio,16750239
793,Tom Hanks,8325837
794,Robert De Niro,35020029
795,Cate Blanchett,8595553
796,Leonardo DiCaprio,6197596
797,Meryl Streep,14693021
798,Tom Hanks,39276607
799,Tom Hanks,46702227
800,Cate Blanchett,5791114
801,Viola Davis,29620274
802,Tom Hanks,10601901
803,Robert De Niro,22913764
804,Leonardo DiCaprio,25178447
805,Tom Hanks,28389647
806,Viola Davis,26146738
807,Cate Blanchett,20734236
808,Leonardo DiCaprio,3090938
809,Meryl Streep,25716323
810,Robert De Niro,20520131
811,Meryl Streep,40676601
812,Robert De Niro,8129115
813,Leonardo DiCaprio,15192158
814,Tom Hanks,35278948
815,Viola Davis,35103534
816,Leonardo DiCaprio,48837898
817,Tom Hanks,15419595
818,Cate Blanchett,40103412
819,Robert De Niro,45094505
820,Viola Davis,11071341
821,Cate Blanchett,44567885
822,Robert De Niro,6188282
823,Meryl Streep,38943511
824,Leonardo DiCaprio,39549965
825,Viola Davis,37791295
826,Viola Davis,29056881
827,Leonardo DiCaprio,9136437
828,Leonardo DiCaprio,4451509
829,Leonardo DiCaprio,32697473
830,Viola Davis,36195114
831,Leonardo DiCaprio,30596177
832,Tom Hanks,19064546
833,Meryl Streep,39603953
834,Tom Hanks,17376508
835,Tom Hanks,17312375
836,Tom Hanks,16494812
837,Cate Blanchett,22126969
838,Viola Davis,8745498
839,Viola Davis,17176355
840,Cate Blanchett,28509655
841,Tom Hanks,6347910
842,Tom Hanks,38611641
843,Leonardo DiCaprio,6130054
844,Tom Hanks,44844229
845,Cate Blanchett,41615531
846,Meryl Streep,31129733
847,Cate Blanchett,16419154
848,Leonardo DiCaprio,9407482
849,Leonardo DiCaprio,17437908
850,Cate Blanchett,46238429
851,Leonardo DiCaprio,45687970
852,Meryl Streep,41637481
853,Tom Hanks,20252539
854,Tom Hanks,22061737
855,Robert De Niro,6469772
856,Cate Blanchett,29254347
857,Leonardo DiCaprio,10958859
858,Leonardo DiCaprio,34165216
859,Viola Davis,14294548
860,Meryl Streep,31472064
861,Robert De Niro,12191808
862,Robert De Niro,29093488
863,Tom Hanks,38217151
864,Viola Davis,32531788
865,Viola Davis,7777684
866,Meryl Streep,3286779
867,Cate Blanchett,2606013
868,Viola Davis,12202860
869,Robert De Niro,9883720
870,Leonardo DiCaprio,36521371
871,Cate Blanchett,29344011
872,Tom Hanks,9553225
873,Cate Blanchett,47770093
874,Leonardo DiCaprio,17202422
875,Viola Davis,20689196
876,Robert De Niro,23602821
877,Tom Hanks,40693416
878,Leonardo DiCaprio,42381311
879,Robert De Niro,49464651
880,Robert De Niro,5949449
881,Viola Davis,24820803
882,Cate Blanchett,28439118
883,Viola Davis,31182460
884,Viola Davis,30238670
885,Tom Hanks,33018044
886,Viola Davis,10033224
887,Viola Davis,13311173
888,Viola Davis,40564576
889,Leonardo DiCaprio,6623017
890,Meryl Streep,1522358
891,Leonardo DiCaprio,40798796
892,Tom Hanks,46225139
893,Viola Davis,31435692
894,Cate Blanchett,22504154
895,Cate Blanchett,12859630
896,Leonardo DiCaprio,49488381
897,Leonardo DiCaprio,19743477
898,Robert De Niro,16586942
899,Tom Hanks,34104364
900,Tom Hanks,4240549
901,Leonardo DiCaprio,35740758
902,Leonardo DiCaprio,39911612
903,Leonardo DiCaprio,29634649
904,Tom Hanks,22662746
905,Cate Blanchett,22379427
906,Meryl Streep,10609758
907,Robert De Niro,15138541
908,Cate Blanchett,35838558
909,Tom Hanks,39596845
910,Leonardo DiCaprio,22096838
911,Robert De Niro,24309969
912,Tom Hanks,12112727
913,Robert De Niro,20316827
914,Tom Hanks,33657570
915,Cate Blanchett,16007780
916,Meryl Streep,20359485
917,Tom Hanks,41679392
918,Robert De Niro,16547418
919,Viola Davis,19698456
920,Meryl Streep,7440841
921,Meryl Streep,38055061
922,Leonardo DiCaprio,12331494
923,Robert De Niro,41157376
924,Robert De Niro,37227361
925,Leonardo DiCaprio,14095131
926,Robert De Niro,33773680
927,Robert De Niro,25799447
928,Meryl Streep,19913795
929,Leonardo DiCaprio,29622102
930,Viola Davis,30851678
931,Leonardo DiCaprio,9467709
932,Cate Blanchett,20793194
933,Robert De Niro,49066784
934,Viola Davis,9049076
935,Cate Blanchett,30008876
936,Cate Blanchett,18653425
937,Robert De Niro,10181702
938,Tom Hanks,45876742
939,Robert De Niro,24737825
940,Robert De Niro,15927814
941,Viola Davis,5989566
942,Tom Hanks,11517783
943,Leonardo DiCaprio,23504096
944,Tom Hanks,31431457
945,Viola Davis,35416385
946,Viola Davis,5971995
947,Viola Davis,47166709
948,Tom Hanks,3574084
949,Cate Blanchett,7740333
950,Viola Davis,35983636
951,Tom Hanks,13777438
